page_id,name,page_created,page_type,count,fb,wel_opens,wel_clicks,wel_acts,opens_14day,clicks_14day,acts_14day,num_donations_14day,amt_donations_14day,num_recur_14day,amt_recur_14day,usa,can,uk,aus,nz,nuk_eur,row,en,de,fr,acts_90day,num_donations_90day,amt_donations_90day
12799,nhs-card-petition,2016-03-23 15:13:14,Petition,4317,4317,2174,460,713,6013,1108,1586,19,237.90,1,1.41,7,0,4301,0,1,7,1,4314,0,3,2410,74,657.16
12763,Nespresso-Muenchen-de,2016-03-21 12:28:20,Petition,1978,1495,1356,792,722,2444,1452,1491,"","","","",6,0,3,2,0,1955,12,259,1713,6,2470,9,48.71
12705,schools-academies,2016-03-17 13:08:55,Petition,90,74,44,3,3,114,8,12,"","","","",0,2,87,0,0,0,1,90,0,0,30,1,1.44
12689,NSW-police-crackdown,2016-03-16 19:38:22,Petition,2021,1989,1338,292,435,2467,434,562,17,237.92,"","",10,3,17,1959,10,10,12,2020,0,1,955,45,510.45
12672,amazon-agm-usa,2016-03-16 14:20:40,Petition,180,32,87,19,16,152,25,156,"","","","",173,0,2,0,0,2,3,180,0,0,202,"",""
12671,agm-2016-amazon,2016-03-16 14:07:07,Petition,508,205,343,79,70,733,180,396,18,278.38,1,1.42,50,54,239,23,6,119,17,505,1,2,743,30,412.03
12662,daimler-droht-dhu-de,2016-03-15 11:15:35,Petition,74,15,48,38,41,78,54,115,"","","","",0,0,0,0,0,74,0,2,72,0,167,"",""
12661,bhs-pensions,2016-03-15 08:29:25,Petition,814,757,373,62,55,961,151,153,3,15.65,"","",3,0,788,4,0,13,6,814,0,0,316,4,25.84
12657,loi-biodiversite-abeilles,2016-03-14 14:31:43,Petition,90960,78640,51067,18795,16386,109620,24309,21944,3,12.68,"","",294,2901,395,113,36,85253,1968,6749,26,84185,47086,523,3705.19
12649,segolene-royal-defendez-les-abeilles-contre-les-lobbies-de-l-industrie-chimique-petition,2016-03-14 10:25:42,Petition,1315,1315,737,276,251,1657,364,424,1,1.45,"","",14,15,5,3,0,1262,16,85,3,1227,953,10,82.21
12637,agression-sexuelle-chez-westjet-le-pdg-doit-quitter-ses-fonctions-petition,2016-03-11 22:14:08,Petition,51,51,31,15,18,51,25,37,"","","","",1,48,0,0,0,2,0,2,0,49,54,1,4.64
12630,daily-mail-lilly-wachowski,2016-03-11 15:28:44,Petition,1907,249,879,192,182,1976,412,1978,1,1.42,"","",788,99,674,51,6,220,69,1899,0,8,2398,7,28.36
12566,tppa-subs-nz,2016-03-09 10:59:16,Petition,378,64,374,60,55,811,128,359,10,145.04,"","",2,0,3,16,352,5,0,378,0,0,528,28,411.50
12557,enjoy-coke-with-GOP-Trump-KKK,2016-03-09 00:14:51,Petition,1723,940,1106,221,211,2223,463,888,3,11.14,"","",754,245,88,134,46,349,107,1717,2,4,1364,13,65.34
12534,scotland-be-the-first-government-to-join-electronics-watch-petition,2016-03-07 14:16:30,Petition,384,384,242,21,19,714,140,453,2,7.83,"","",0,1,252,3,0,126,2,379,3,2,2159,55,888.41
12523,berta-fmo-bank-divest,2016-03-04 21:09:44,Petition,2580,1025,1847,459,407,3987,883,1748,18,1293.30,1,4.51,899,262,448,174,32,544,221,2555,8,17,3775,89,2056.99
